organizations,fullName,location,status,typeOfDeath,charges,startDisplay,mtpage,country,type,motiveConfirmed,year,month
Al Quds TV,Hassan Farajallah,Gaza Strip,Killed,,,3-Dec-23,https://cpj.org/data/people/hassan-farajallah/,Israel and the Occupied Palestinian Territory,Media Worker,,2023,December
,Hassouneh Salim,Gaza,Killed,Dangerous Assignment,,18-Nov-23,https://cpj.org/data/people/hassouneh-salim/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
“Khabar” News Agency,Hisham Alnwajha,"Gaza City, Gaza Strip",Killed,Dangerous Assignment,,9-Oct-23,https://cpj.org/data/people/hisham-alnwajha/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Al Aqsa Radio,Husam Mubarak,Unknown,Killed,Dangerous Assignment,,13-Oct-23,https://cpj.org/data/people/husam-mubarak/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Al-Aqsa,Hussam Salama,Gaza Strip,Killed,Crossfire,,20-Nov-12,https://cpj.org/data/people/hussam-salama/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2012,November
Ain Media,Ibrahim Mohammad Lafi,Gaza Strip,Killed,Dangerous Assignment,,7-Oct-23,https://cpj.org/data/people/ibrahim-mohammad-lafi/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Freelance,Imad Abu Zahra,Jenin,Killed,Crossfire,,12-Jul-02,https://cpj.org/data/people/imad-abu-zahra/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2002,July
Palestine TV,Imad Al-Wahidi,Unknown,Killed,,,31-Oct-23,https://cpj.org/data/people/imad-al-wahidi/,Israel and the Occupied Palestinian Territory,Media Worker,,2023,October
Al-Aqsa TV,Issam Bhar,Unknown,Killed,Dangerous Assignment,,17-Oct-23,https://cpj.org/data/people/issam-bhar/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Voice of Palestine,Issam Tillawi,Ramallah,Killed,Dangerous Assignment,,22-Sep-02,https://cpj.org/data/people/issam-tillawi/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2002,September
Al-Aqsa Voice Radio,Iyad El-Ruwagh,Gaza,Killed,Dangerous Assignment,,25-Jan-24,https://cpj.org/data/people/iyad-el-ruwagh/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2024,January
Al-Aqsa TV,Iyad Matar,Unknown,Killed,Dangerous Assignment,,1-Nov-23,https://cpj.org/data/people/iyad-matar/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Quds Al-Youm,Jabr Abu Hadrous,Gaza,Killed,Dangerous Assignment,,29-Dec-23,https://cpj.org/data/people/jabr-abu-hadrous/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
Mithaq Media Foundation,Jamal Al-Faqaawi,Khan Yunis,Killed,Dangerous Assignment,,25-Oct-23,https://cpj.org/data/people/jamal-al-faqaawi/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Freelance,James Miller,Rafah,Killed,Crossfire,,2-May-03,https://cpj.org/data/people/james-miller/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2003,May
